country,company_name,year,num-of-cylinders,displacement,mileage,horsepower,weight,acceleration
USA,Ford,2021,8,392,6.3771427665695395,227,4290,8.564522623894348
Japan,Honda,2019,8,339,10.6285712776159,261,2870,6.024796328675095
USA,Toyota,2001,6,190,11.053714128720536,181,4068,10.77842351619297
Japan,Chevrolet,2008,7,186,11.903999830929807,257,2630,11.192626677646944
Japan,Honda,2000,7,367,9.35314272430199,112,4176,6.04151701805156
Germany,Honda,2004,5,281,8.927999873197354,218,3508,13.76177443114867
USA,Chevrolet,2006,6,134,11.903999830929807,146,4413,11.310928543090103
Germany,Toyota,2021,8,230,12.754285533139079,218,2105,8.34515522005252
USA,Ford,2013,7,160,10.203428426511264,132,2225,7.602914575529552
USA,Ford,2007,7,184,8.927999873197354,134,3807,13.405617213681303
USA,Chevrolet,2015,5,283,11.053714128720536,215,4199,8.474010317185313
Germany,Ford,2009,5,315,14.029714086452987,187,3932,9.22574426436424
Japan,Chevrolet,2018,5,159,9.35314272430199,224,2266,11.064496054554777
Germany,Chevrolet,2008,5,249,6.802285617674175,253,3286,13.12522247520165
Germany,Chevrolet,2022,6,137,10.203428426511264,274,2614,9.460850856776688
USA,Ford,2015,4,235,7.227428468778811,207,2331,13.425749686748976
Japan,Honda,2011,7,267,14.029714086452987,152,3394,10.73664530143007
Japan,Ford,2006,5,312,12.329142682034442,210,3365,9.454279421001296
Japan,Ford,2015,8,339,8.502857022092718,164,4418,10.742242165412868
Japan,Chevrolet,2001,7,278,8.077714170988083,176,2669,8.836048430013893
USA,Ford,2022,5,389,14.029714086452987,218,3545,11.256158193552
Japan,Chevrolet,2012,5,256,12.329142682034442,173,2627,11.218471621932204
USA,Chevrolet,2003,6,195,14.029714086452987,246,2968,12.5737485086427
USA,Ford,2018,4,150,6.802285617674175,104,2389,9.22213407738547
Japan,Ford,2015,4,242,11.47885697982517,107,2181,6.300520420031427
Germany,Chevrolet,2003,6,268,6.3771427665695395,231,4283,13.877052983754457
USA,Toyota,2010,8,367,10.203428426511264,148,2193,9.585142655456462
Germany,Honda,2012,4,173,13.179428384243714,176,4380,13.501081802700918
USA,Ford,2006,8,193,7.227428468778811,137,3685,11.376328457179897
Japan,Chevrolet,2003,7,395,9.778285575406626,216,2120,8.133575020803551
Japan,Ford,2022,7,221,14.454856937557622,148,3810,10.512514882671454
Germany,Honda,2005,4,241,10.6285712776159,209,4393,13.655463800702211
USA,Ford,2011,4,356,13.179428384243714,279,2525,6.907887321606188
Japan,Honda,2000,7,355,6.802285617674175,149,2222,8.17783488842834
Japan,Toyota,2011,7,261,6.3771427665695395,171,2236,6.656461962919567
Japan,Ford,2008,4,358,8.502857022092718,190,4153,12.122164670386075
