month_number,facecream,facewash,toothpaste,bathingsoap,shampoo,moisturizer,total_units,total_profit
1,4000,10000,21000,35500,12000,18000,15450,185000
2,2500,12000,25000,35500,21000,22000,12000,201000
3,5200,11000,28000,35500,18000,25000,13450,206000
4,4100,12000,23000,35500,21000,21000,11300,200500
5,5550,10000,24000,35500,18000,19000,17450,194000
6,7900,10000,21000,35500,22000,22000,19450,220000
7,9100,12000,23000,35500,21000,21000,20100,230000
8,3550,10000,25000,35500,23000,24000,25400,240000
9,7900,10000,21000,35500,24000,22000,27100,240000
10,3100,12000,23000,35500,21000,21000,35450,270000
11,8550,10000,21000,35500,23000,24000,36800,260000
12,2900,10000,23000,35500,24000,22000,49200,290000
